modelid,rating_score,review_score,price_score,name,type,address1,address2,rating,themenum,latitude,longitude
1327,0.0,0.09937205334428101,0.44516960596979405,위미1리 어촌체험마을,체험마을,제주 서귀포시 남원읍 위미해안로 43 금호위미요트클럽,위미리 2937-2,0.0,24,33.2713556695925,126.658896892048
1328,0.0,0.5290851195243659,0.7659617039902965,남진호 배낚시,배낚시,제주 서귀포시 남원읍 위미해안로 43,위미리 2937-2,0.0,24,33.2713556695925,126.658896892048
1329,0.8440270650614341,0.25627077947817933,0.7659617039902965,착한배낚시,배낚시,제주 서귀포시 남원읍 위미해안로 43,위미리 2937-2,3.89,24,33.2713556695925,126.658896892048
1330,0.0,0.145577426848741,0.44516960596979405,토산1리 농촌체험 휴양마을협의회,"관람,체험",제주 서귀포시 표선면 토산세화로35번길 16-9 토산1리 테마체험관,토산리 843-3,0.0,24,33.333882600727,126.771335768518
1331,0.0,0.12539357025679385,0.44516960596979405,우도&살레,체험여행,제주 제주시 우도면 상우목길 36-17,연평리 2100-4,0.0,24,33.5059095155674,126.948159005374
1332,0.0,0.0,0.44516960596979405,제주하르방,"관람,체험",제주 서귀포시 표선면 성읍민속로149번길 8,성읍리 641-1,0.0,24,33.3906559310386,126.797287337355
1333,0.0,0.145577426848741,0.44516960596979405,제주신화전설탐방로 신나락만나락,"관람,체험",제주 서귀포시 안덕면 녹차분재로 218,서광리 산39,0.0,24,33.3029878967208,126.298894958599
1334,0.0,0.06269678512839692,0.44516960596979405,"공간, 가라","관람,체험",제주 제주시 기와4길 48-1 106동 204호,영평동 2417-6,0.0,24,33.4794540577013,126.560431695445
1335,0.0,0.20827421197713794,0.44516960596979405,성읍민속마을백록담,체험여행,제주 서귀포시 서성일로189번길 1,표선면 성읍리 371-1,0.0,24,33.4039568039607,126.813343377592
1336,0.0,0.0,0.44516960596979405,제주축협낙농체험문화센터,체험여행,제주 제주시 한림읍 한창로 1015,금악리 103-3,0.0,24,33.342209025337,126.319124257788
1337,0.0,0.20827421197713794,0.44516960596979405,종달리체험어장,체험여행,없음,제주 제주시 구좌읍 하도리,0.0,24,33.5187514629657,126.883021484083
1338,0.8551084913769488,0.3733089666846197,0.44516960596979405,초가집,체험여행,제주 서귀포시 표선면 중산간동로 4662,성읍리 656-3,3.96,24,33.3897163735848,126.797298868941
1339,1.0,0.2874624087294718,0.44516960596979405,하트체험농원,"관람,체험",제주 서귀포시 태평로 288 하트체험농원,서홍동 558-6,5.0,24,33.2476825817729,126.552406050027
1340,0.0,0.3829848453181785,0.44516960596979405,도치돌농업회사법인,"관람,체험",제주 제주시 애월읍 도치돌길 293,납읍리 102,0.0,24,33.4103624407651,126.365781960796
1341,0.9372912009775382,0.4596249203012906,0.44516960596979405,서귀포 가시리마을,체험마을,제주 서귀포시 가시로613번길 54-14,표선면 가시리 1863,4.52,24,33.3547126791197,126.770523565033
1342,0.0,0.12539357025679385,0.44516960596979405,우녀천,"관람,체험",제주 제주시 이도이동 청귤로1길 4-1,제주특별자치도 제주시 이도이동 379-6 이도2동복지회관,0.0,24,33.4997300031594,126.536883838323
